Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Total_Purchases,Fresh_Ratio,Milk_Ratio,Grocery_Ratio,Frozen_Ratio,Detergents_Paper_Ratio,Delicassen_Ratio
2,3,12669,9656,7561,214,2674,1338,34112,0.3713942307692308,0.5320409215595016,0.4707995374921414,0.07920512709161256,0.2799800649563878,0.19804982601226814
2,3,7057,9810,9568,1762,3293,1776,33266,0.21213851981001625,0.5430429902801164,0.5363030807376605,0.2301455915861079,0.3146266989920462,0.2310580953867585
2,3,6353,8808,7684,2405,3516,7844,36610,0.1735318219065829,0.490499747942335,0.45813536071862127,0.25630535258021325,0.30990213538379,0.4628805454374178
1,3,13265,1196,4221,6404,507,1788,27381,0.48446002702603996,0.208997425904997,0.3926295872303923,0.48361638788931866,0.1360753083279253,0.2555401260050664
2,3,22615,5410,7198,3915,1777,5185,46100,0.49056399132321044,0.3425690867193142,0.3951440606075278,0.2914173606549656,0.1963329767105738,0.33536977358214315
2,3,9413,8259,5126,666,1795,1451,26710,0.3524148259078997,0.5560665730784806,0.4380789211382332,0.15790655929256114,0.2592359825452476,0.2330755738755173
2,3,12126,3199,6975,480,3140,545,26465,0.4581900623464954,0.3476731647836434,0.5133767033318706,0.1346742822138538,0.3444521301708233,0.1435034367180664
2,3,7579,4956,9426,1669,3321,2566,29517,0.2567672866483721,0.40975998120779256,0.5651029963496764,0.2377891643642045,0.33542724112515093,0.2948439483709613
1,3,5963,3648,6192,425,1716,750,18694,0.3189793516636354,0.4417497329658183,0.575525213543235,0.1507798635124264,0.3029755081744176,0.20029933734946304
2,3,6006,11093,18881,1159,7425,2098,46662,0.12871287128712872,0.48757657444624813,0.6361079471873501,0.15760138992256648,0.3989023128068564,0.21204159738373263
2,3,3366,5403,12974,4400,5977,1744,33864,0.09939759036144578,0.3994370595777749,0.6189674613150394,0.3604601096772798,0.42011917133063204,0.22693637460648958
2,3,13146,1124,4523,1420,549,497,21259,0.6183733947974975,0.22993852421137687,0.4612558400688798,0.2584477503543056,0.1606995853853596,0.1528997510858684
2,3,31714,12319,11757,287,3881,2931,62889,0.5042853281177948,0.4425887627633115,0.43237533804936035,0.067554394212308,0.24841880988089682,0.21588405389123724
2,3,21217,6208,14982,3095,6707,602,52811,0.40175342258241653,0.3428575035321732,0.5326264147877381,0.24208513961552766,0.3563706733253273,0.10676675667366196
2,3,24653,9465,12091,294,5058,2168,53729,0.4588397327327886,0.41971639148435597,0.47438039435407275,0.07397232795131437,0.30682096654399343,0.20087470877517036
1,3,10253,1114,3821,397,964,412,16961,0.6045044513884794,0.25628127051612154,0.47463831304666076,0.15299228333320314,0.23840358941563583,0.15585576850606764
2,3,1020,8816,12121,134,4508,1080,27679,0.036851042306441706,0.5643656763489207,0.6617501185554979,0.06957884277441423,0.4035680309505853,0.19753164474941443
1,3,5876,6157,2933,839,370,4478,20653,0.2845107248341645,0.5460004545719499,0.3768464764831264,0.20155306549979893,0.13384719971209477,0.46564020536480355
2,3,18601,6327,10099,2205,2767,3181,43180,0.43077813802686427,0.3827873685519511,0.4836128891855371,0.22597634392336063,0.2531414483388054,0.27141916841628705
1,3,7780,2495,9464,669,2518,501,23427,0.3320954454262176,0.3263449797405386,0.6355928851228045,0.16898755410817293,0.3278457243423575,0.14623809606313806
2,3,17546,4519,4602,1066,2259,2124,32116,0.5463320463320464,0.3751115581147316,0.37854070144160373,0.18218720688749984,0.26521457718548425,0.25716776563878835
1,3,5567,871,2010,3383,375,569,12775,0.4357729941291585,0.26111307730357597,0.3966592389685381,0.5146009036326787,0.17133069613002574,0.21104529707347128
1,3,31276,1917,4469,9408,2381,4334,53785,0.5815004183322487,0.18879064488224617,0.2882535010673211,0.4182327792250328,0.21040163543060939,0.28386631956778285
2,3,22647,9776,13792,2915,4482,5778,59390,0.3813268226974238,0.4057176803735634,0.48190003917010305,0.22154533868665988,0.27471303277939263,0.31191201629640025
2,3,16165,4230,7595,201,4003,57,32251,0.5012247682242411,0.36215842356695715,0.4852798921752798,0.07894532847427042,0.35230694333198725,0.042040302779186196
1,3,9898,961,2861,3151,242,833,17946,0.5515435194472306,0.23140772999490114,0.3992777386509183,0.41902541982908914,0.116124498456915,0.21544611591850732
1,3,14276,803,3045,485,100,518,19227,0.7424975295157851,0.20436287769654488,0.3979585917202717,0.15882362572690956,0.07211809342878084,0.16413799222293488
2,3,4113,20484,25957,1158,8604,5206,65522,0.06277280913281036,0.5591313080696022,0.6294100539108854,0.13294154050293883,0.3623736647913057,0.28187626560937235
1,3,43088,2100,2609,1200,1107,823,50927,0.8460737918982072,0.2030652455303703,0.22634087619328855,0.15350289702675152,0.14743471807022268,0.12712350858706695
1,3,18815,3610,11107,1148,2134,2963,39777,0.47301204213490206,0.3012573061389536,0.5284238041773655,0.16988495964856626,0.23162274002645508,0.27292908113567216
1,3,2612,4339,3133,2088,820,985,13977,0.18687844315661445,0.5571701514468484,0.47344901228314007,0.3865078016637457,0.24221439140655984,0.2654673610762895
1,3,21632,1318,2886,266,918,405,27425,0.7887693710118505,0.21922212691653314,0.3243955180673833,0.09848441288180869,0.18295657538789462,0.12152179992821857
1,3,29729,4786,7326,6130,361,1083,49415,0.601618941616918,0.3112124390703491,0.38503841181012105,0.3522093147495352,0.08547206588320072,0.14804196073757808
1,3,1502,1979,2262,425,483,395,7046,0.21317059324439397,0.5299703556960035,0.5665979265158877,0.2455970498019396,0.2618196548182788,0.23677030216303574
2,3,688,5491,11091,833,4239,436,22778,0.030204583369918343,0.49098466454675505,0.6977945262093971,0.19123382264435201,0.43139381475463007,0.13835200277000512
1,3,29955,4362,5428,1729,862,4626,46962,0.6378561390060049,0.3047681217311095,0.33997472205288864,0.19187756768188238,0.13548160745913856,0.31385533992003456
2,3,15168,10556,12477,1920,6506,714,47341,0.3203988086436704,0.4722054302496297,0.5133769598619841,0.2013872171234256,0.370713426636447,0.12280905574388405
2,3,4591,15729,16709,33,6956,433,44451,0.1032822658657848,0.5948531811125378,0.6131044406823035,0.027246843806239894,0.39558427443411914,0.09869682463574501
1,3,56159,555,902,10002,212,2916,70746,0.793811664263704,0.08857181549382842,0.11291517810569177,0.37600401313683435,0.05474153680893201,0.20302186592230612
1,3,24025,4332,4757,9510,1145,5864,49633,0.48405294864303994,0.2954329702264844,0.3095859997247871,0.4377286727063628,0.1518859074237458,0.3437254725086761
1,3,19176,3065,5956,2033,2575,2802,35607,0.5385457915578398,0.2933915132625408,0.4089871398020879,0.2389466779991725,0.26891865125338515,0.2805216425615036
2,3,10850,7555,14961,188,6899,46,40499,0.26790784957653274,0.43191181506814175,0.6077964534309,0.06813288433749429,0.41273464257601417,0.03370208471791748
2,3,630,11095,23998,787,9529,72,46111,0.013662683524538614,0.49052526706235705,0.7214151428190946,0.13064268447200025,0.4545915859411147,0.03951518120496926
2,3,9670,7027,10471,541,4618,65,32392,0.29853050135836007,0.46576418986768614,0.568558554012318,0.12923488201551026,0.37757921777453984,0.04479585151734192
2,3,5181,22044,21531,1740,7353,4985,62834,0.08245535856383486,0.592308339398733,0.5853757761579088,0.16640917606261033,0.3420857071840585,0.28166651960244066
2,3,3103,14069,21955,1668,6792,1452,49039,0.06327616794795979,0.5356249664571133,0.6691075309293182,0.18442815447433505,0.37215857991640566,0.17207291084108245
2,3,11519,6152,10868,584,5121,1476,35720,0.3224804031354983,0.4150041487130558,0.5515934364628863,0.1278647101374896,0.37863579016007665,0.20327663067314833
2,3,4967,21412,28921,1798,13583,1163,71844,0.06913590557318634,0.5459254808016358,0.6344704509963105,0.15819749109567124,0.43481307823702514,0.12723148767475878
1,3,6269,1095,1980,3860,609,2162,15975,0.39242566510172144,0.26181023841509166,0.3520563335204055,0.49155624605531534,0.19524872785168032,0.36788104493679363
1,3,3347,4051,6996,239,1538,301,16472,0.20319329771733852,0.495915810900125,0.6517060213182306,0.12045526396469469,0.3055659801695998,0.13517926507302208
2,3,40721,3916,5876,532,2587,1278,54910,0.7415953378255327,0.26705186772354705,0.32712608168713503,0.09843059135695006,0.21705634841314952,0.15255965750657957
2,3,491,10473,11532,744,5611,224,29075,0.016887360275150472,0.6001719444081722,0.6297852068021229,0.1599656024934217,0.43929905866126173,0.08777364776296191
1,3,27329,1449,1947,2436,204,1333,34698,0.7876246469537149,0.20435344872942202,0.23688128725247393,0.2649637249681982,0.07667660269376245,0.19600306078887494
1,3,5264,3683,5005,1057,2024,1130,18163,0.2898199636623906,0.45030530975385163,0.5249382866699479,0.24123687957107112,0.3338193157567689,0.2494281297199896
2,3,5417,9933,10487,38,7572,1282,34729,0.1559791528693599,0.5348033002478056,0.5495149280126315,0.03307848870205271,0.4669379405669724,0.19213119036281082
1,3,13779,1970,1648,596,227,436,18656,0.7385827615780446,0.32495546600804814,0.2972140509965453,0.17873675267875802,0.1103071495344792,0.1528741228171112
1,3,6137,5360,8040,129,3084,1603,24353,0.25200180675892087,0.469143993593042,0.5745817000972466,0.07278110094231353,0.3558614551648442,0.2565609333152516
2,3,8590,3045,7854,96,4095,225,23905,0.35933905040786446,0.35690224063519776,0.5731932592460375,0.06337109953293683,0.41388775612546336,0.09701678643426288
2,3,7823,6245,6544,4154,4074,964,29804,0.26248154610119445,0.4577506229389167,0.4685806688741201,0.37333264630443397,0.36972024739530984,0.17984618907444416
2,3,9396,11601,15775,2896,7677,1295,48640,0.19317434210526316,0.4883721954777826,0.5694923582038933,0.24400711810152287,0.39728209022120076,0.16316916875310405
1,3,4760,1227,3250,3724,1247,1145,15353,0.3100371262945353,0.28269990100090814,0.4600923958305557,0.4925022412440684,0.28499458069788064,0.27309020180308435
1,3,9,1534,7417,175,3468,27,12630,0.0007125890736342043,0.3485065978898581,0.7663240654177066,0.11771108127104439,0.5240079417722407,0.04623599486225653
2,3,19913,6759,13462,1256,5141,834,47365,0.4204159189274781,0.37775694054937065,0.5331212851268801,0.16284185796722436,0.329454186840362,0.1326949070277497
1,3,2446,7260,3993,5870,788,3095,23452,0.10429814088350674,0.5563887852034651,0.4126289667062932,0.5002983929674361,0.1833045165719267,0.363279075711409
1,3,8352,2820,1293,779,656,144,14044,0.5947023639988607,0.4481043333773613,0.30342674067274195,0.2355175736225367,0.21612574796811326,0.10125951330350702
1,3,16705,2037,3202,10643,116,1365,34068,0.4903428437243161,0.2445243962168028,0.3065754288931734,0.5589316617973853,0.05835199050837746,0.20016724250881374
1,3,18291,1266,21042,5373,4173,14472,64617,0.28306792330191743,0.1399727378230268,0.5706503824177516,0.2883600052733655,0.2541269925528067,0.47325028201332636
1,3,4420,5139,2661,8872,1321,181,22594,0.1956271576524741,0.47691693765733356,0.34318308587816254,0.6266343595101707,0.24179919273250294,0.08950405781531218
2,3,19899,5332,8713,8132,764,648,43488,0.45757450331125826,0.35015501665406124,0.4476093393540492,0.4324281597197581,0.1325445764771053,0.12206826881567391
2,3,8190,6343,9794,1285,1901,1780,29293,0.2795889803024613,0.4653346901722654,0.5782266765805942,0.20944482684736146,0.2547470318785151,0.24650632966791525
1,3,20398,1137,3,4407,3,975,26923,0.7576421646918992,0.20550316112653305,0.010555988338229063,0.40458502086896436,0.010555988338229063,0.190300786083424
1,3,717,3587,6532,7530,529,894,19789,0.03623225024003234,0.4257491250127097,0.574527953186679,0.6168585147398342,0.1634993053225984,0.21254790817601213
2,3,12205,12697,28540,869,12034,1009,67354,0.18120675832170324,0.43417904945036156,0.6509464878066595,0.11358688559960588,0.4226912982361208,0.12239505923074087
1,3,10766,1175,2067,2096,301,167,16572,0.6496500120685493,0.2662756607205312,0.35316916292251754,0.3556380144144393,0.13477079352497767,0.10038545071825074
1,3,1640,3259,3655,868,1202,1653,12277,0.1335831229127637,0.5152239612316708,0.5456291480696968,0.26589718199953155,0.312900391051543,0.36693598013988565
1,3,7005,829,3009,430,610,529,12412,0.5643731872381567,0.25843800616265106,0.4923684431950676,0.18612870011572005,0.22168894368864375,0.20644622815064484
2,3,219,9540,14403,283,7818,156,32419,0.00675529781918011,0.5424683194460672,0.6665406998218151,0.09343151920008792,0.49107522673425597,0.06936853009172965
2,3,10362,9232,11009,737,3537,2342,37219,0.2784061903866305,0.49804151752622744,0.5438655944140425,0.14071856373002922,0.3082727805970649,0.2508482613272689
1,3,20874,1563,1783,2320,550,772,27862,0.7491924484961596,0.2368499760047347,0.25297029525638903,0.28856114229124447,0.1404996365534557,0.1664571697951498
2,3,11867,3327,4814,1178,3837,120,25143,0.4719802728393589,0.3637624386883576,0.4375669334200274,0.2164532432713592,0.39064957117566423,0.06908473170761217
1,3,43265,5025,8117,6312,1579,14351,78649,0.5501023534946408,0.25276761491836985,0.3212559429324733,0.2832936843175461,0.14169171681288753,0.4271638377681477
1,3,7864,542,4042,9735,165,46,22394,0.35116549075645265,0.15557284947621874,0.4248467669481129,0.6593289434806812,0.08583731712988706,0.045322418732068194
1,3,24904,3836,5330,3443,454,3178,41145,0.6052740308664479,0.30533793625516525,0.35991924669156067,0.2892743843855864,0.1050435506208664,0.27791911177403694
1,3,11405,596,1638,3347,69,360,17415,0.6548952052828022,0.18499559631915347,0.3066868884468647,0.43839552946244303,0.06294522727356094,0.14377703093791788
1,3,12754,2762,2530,8693,627,1117,28483,0.44777586630621774,0.3114002609652535,0.2980350870385285,0.5524487240817276,0.1483682265154124,0.19803124672544348
2,3,9198,27472,32034,3232,18906,5130,95972,0.09584045346559412,0.53502351004006,0.5777411651559247,0.18351154997969832,0.44384113921809704,0.23119924412662926
1,3,11314,3090,2062,35009,71,2698,54244,0.20857606371211562,0.23867305168961084,0.19497030758341424,0.8033670203755152,0.03617873026462108,0.2230206714528677
2,3,5626,12220,11323,206,5038,244,34657,0.16233372767406296,0.5937998995331473,0.5715908532585775,0.07709711501818163,0.3812708462937415,0.0839072388642363
1,3,3,2920,6252,440,223,709,10547,0.0002844410732909832,0.5261710539389483,0.7699189546558839,0.20424990595512532,0.1454078853247985,0.2592738069835999
2,3,23,2616,8118,145,3874,217,14993,0.0015340492229707196,0.4177097373354416,0.7358346811046358,0.09834215720608248,0.508318057304786,0.12030553158424273
1,3,403,254,610,774,54,63,2158,0.18674698795180722,0.34307663215803674,0.5316663785597363,0.5988868264994543,0.15818713475337637,0.17086163369345578
1,3,503,112,778,895,56,132,2476,0.2031502423263328,0.2126834473774777,0.5605501567126978,0.6012238460720116,0.15038990788674672,0.2308934672416322
1,3,9658,2182,1909,5639,215,323,19926,0.48469336545217306,0.3309156525850135,0.3095229822861045,0.5319747073218346,0.10387455277420911,0.12731840760307978
2,3,11594,7779,12144,3252,8035,3029,45833,0.2529618397224707,0.41197678420796063,0.5147445259503327,0.266370500048926,0.41870080713269486,0.257075384596579
2,3,1420,10810,16267,1593,6766,1838,38694,0.036698196102754946,0.5285560318284526,0.648383448105458,0.20290188149761867,0.41816163297175607,0.21794702230818053
2,3,2932,6459,7677,2561,4573,1386,25588,0.11458496170079725,0.5024171680847561,0.5477439625331167,0.3163636796506431,0.422748844941817,0.23273593474081544
1,3,14100,2132,3445,1336,1491,548,23052,0.6116605934409162,0.30411601757056644,0.38658082420843204,0.2407403699696524,0.2543223431839641,0.15418281614604454
1,3,15587,1014,3970,910,139,1378,22998,0.6777545873554222,0.20997807148252898,0.41548009147160464,0.1989187224576572,0.07774319151166673,0.2447820535929802
2,3,1454,6337,10704,133,6830,1831,27289,0.05328154201326542,0.4818901429383218,0.6262954254268401,0.06981231021341765,0.5002839166063557,0.2590301765098078
2,3,8797,10646,14886,2471,8969,1438,47207,0.18634948206833732,0.47488672552536143,0.5615466055538749,0.22878796306619045,0.4358818756398358,0.1745324728728317
2,3,1531,8397,6981,247,2505,1236,20897,0.07326410489543954,0.6338990563098099,0.5779853726263284,0.1087192643989664,0.3462277661835779,0.2432020682810378
2,3,1406,16729,28986,673,836,3,48633,0.028910410626529312,0.586501949910118,0.772020110818517,0.1176364748777359,0.1311105407129589,0.00785407595840826
1,3,11818,1648,1694,2276,169,1647,19252,0.6138583004363183,0.29257733327869556,0.2966325304019532,0.3438335112845105,0.09369262909718754,0.2924885524138754
2,3,12579,11114,17569,805,6457,1519,50043,0.25136382710868654,0.4712631997695417,0.5925184156271792,0.12683124968763929,0.3592061177511796,0.17422369428335865
1,3,19046,2770,2469,8853,483,2708,36329,0.5242643618046189,0.27612972651207823,0.2606956732051984,0.49364928274806164,0.11530465577490924,0.27302197769188546
1,3,14438,2295,1733,3220,585,1561,23832,0.605824102047667,0.31032095265319926,0.269661556060653,0.3675764598604917,0.156674272918568,0.25593000574680097
1,3,18044,1080,2000,2555,118,1266,25063,0.7199457367434066,0.20758470475371693,0.28248700280716893,0.3192853009135931,0.0686158545712554,0.22475032363914568
1,3,11134,793,2988,2715,276,610,18516,0.6013177792179737,0.20694884533174723,0.40171376234424994,0.38292289259336193,0.12209024211501047,0.181506144384539
1,3,11173,2521,3355,1517,310,222,19098,0.585035082207561,0.36332265431190036,0.41913344572357586,0.28183754416075457,0.1274051262113924,0.10781583301431442
1,3,6990,3880,5380,1647,319,1160,19376,0.36075557390586294,0.4474904793953311,0.526937461523405,0.2915511351539878,0.1283108194635669,0.24467913230791247
1,3,20049,1891,2362,5343,411,933,30989,0.6469715060182646,0.247025611717809,0.2760807751446415,0.4152300790974091,0.11516410317697512,0.17351500651215734
1,3,8258,2344,2147,3896,266,635,17546,0.4706485808731335,0.3655019860580499,0.34980576265016966,0.4712164158016107,0.12312656277848286,0.19023823156416447
1,3,17160,1200,3412,2417,174,1136,25499,0.6729675673555826,0.21693471148215293,0.3657993561872671,0.3078766488436118,0.08260627707170634,0.21107052540971513
1,3,4020,3234,1498,2395,264,255,11666,0.34459111949254245,0.5265129066843419,0.3583396957666655,0.4530976115235195,0.15043225905266913,0.1478458383185304
1,3,12212,201,245,1991,25,860,15534,0.7861465173168534,0.11375130252353802,0.12558604733480902,0.3580090289181531,0.04011699126659132,0.23529222425945465
2,3,11170,10769,8814,2194,1976,143,35066,0.3185421776079393,0.5541719940458661,0.5013527585346225,0.2501354221706989,0.2373834054761621,0.06385941040316508
1,3,36050,1642,2961,4787,500,1621,47561,0.7579739702697589,0.1858065791608135,0.24951330856351578,0.3172533561280588,0.10253201998221469,0.18461458941355383
1,3,76237,3473,7102,16538,778,918,105046,0.7257487196085525,0.18182878292530338,0.26001630004016907,0.3967817914608001,0.08605974177218105,0.09348277176054891
1,3,19219,1840,1658,8195,349,483,31744,0.605437247983871,0.2407565361052932,0.22853958681579759,0.5080935171574416,0.10485324806143231,0.12335101860269569
2,3,21465,7243,10685,880,2386,2749,45408,0.47271405919661735,0.39938620101558736,0.4850886088349463,0.13921151159742612,0.22922872181790838,0.246048761331537
1,3,140,8847,3823,142,1062,3,14017,0.009987871869872298,0.7944571481420515,0.5222453867574528,0.10065066196368316,0.2752546862946645,0.014629621518787758
1,3,42312,926,1510,1718,410,1819,48695,0.8689187801622343,0.1378996958354529,0.17609470143971165,0.18783191862398835,0.09175922635750085,0.19327432466682795
1,3,7149,2428,699,6316,395,911,17898,0.39943010392222594,0.36831727542435433,0.1976224758899375,0.5940442667882686,0.14855808619062996,0.22560926809032292
1,3,2101,589,314,346,70,310,3730,0.5632707774798927,0.39737746184828676,0.2901418715560145,0.3045675526084101,0.1369918100915948,0.2882879108999293
1,3,14903,2032,2479,576,955,328,21273,0.7005593945376769,0.3090633315425025,0.3413688533321256,0.16454961543964206,0.21187870786649887,0.12417167851153016
1,3,9434,1042,1235,436,256,396,12799,0.7370888350652395,0.2853289511426844,0.3106314752737346,0.18456749806162986,0.1414268808327464,0.17589746212219712
1,3,7388,1882,2174,720,47,537,12748,0.5795418889237527,0.3842277982412571,0.4129607181726693,0.23765405057879999,0.06071946013973711,0.20524194207097224
1,3,6300,1289,2591,1170,199,326,11875,0.5305263157894737,0.329465276502779,0.46710756115075946,0.3138890182683582,0.12945228749173227,0.16568835679958735
1,3,4625,8579,7030,4575,2447,1542,28798,0.1606014306549066,0.5458045732010964,0.49407911774882574,0.3985789745736105,0.2914981621795689,0.2313987577671653
1,3,3087,8080,8282,661,721,36,20867,0.1479369339147937,0.6222654270912109,0.6299957287925311,0.17797980299628455,0.18588212314113267,0.04153567210621947
1,3,13537,4257,5034,155,249,3271,26503,0.5107723653925971,0.40077839969395296,0.4358219377489333,0.07647479664160566,0.09692864804461661,0.35131181333651423
1,3,5387,4979,3343,825,637,929,16100,0.3345962732919255,0.5561066969432154,0.45567505039533934,0.22636748005145244,0.19891007362952826,0.24021212158015104
1,3,17623,4280,7305,2279,960,2616,35063,0.5026095884550666,0.34937944343339006,0.4564419733320448,0.2549456620364848,0.1654668810031041,0.2731456785888073
1,3,30379,13252,5189,321,51,1450,50642,0.5998775719758304,0.5115467021053854,0.3201005430295335,0.07961540189628305,0.031734354114634544,0.16921099400243417
1,3,37036,7152,8253,2995,20,3,55459,0.667808651436196,0.3591101957765208,0.3857624092132321,0.2323873032384338,0.0189901756001646,0.007354863384099194
1,3,10405,1596,1096,8425,399,318,22239,0.46787175682359816,0.26789142727662957,0.22199727811940223,0.6154989655334017,0.13394571363831478,0.11957927956340855
1,3,18827,3677,1988,118,516,201,25327,0.7433568918545426,0.38102628793841814,0.2801665710562391,0.06825730365109316,0.14273582042094196,0.08908532188278566
2,3,22039,8384,34792,42,12591,4430,82278,0.26786018133644474,0.31921535343371876,0.6502761624755256,0.02259346194622841,0.39119045433117833,0.23203847359715113
1,3,7769,1936,2177,926,73,520,13401,0.579732855757033,0.3800879251351191,0.4030515641835319,0.2628674969375218,0.07380619672510061,0.19698495982544717
1,3,9203,3373,2707,1286,1082,526,18177,0.5062991692798592,0.4307716036442562,0.3859073269364299,0.2659863688581256,0.2439790448587696,0.17011075357586236
1,3,5924,584,542,4052,283,434,11819,0.5012268381419748,0.2222880198911368,0.2141456598947249,0.5855235294475178,0.15474009225235236,0.1916260283265581
